"year","1","2","3","4","5","6","7","8","9","10"
1968,0.297,0.715,0.897,0.954,1,1,1,1,1,1
1969,0.296,0.71,0.893,0.952,1,1,1,1,1,1
1970,0.293,0.703,0.888,0.949,1,1,1,1,1,1
1971,0.287,0.692,0.882,0.946,1,1,1,1,1,1
1972,0.274,0.676,0.874,0.942,1,1,1,1,1,1
1973,0.253,0.661,0.869,0.939,1,1,1,1,1,1
1974,0.229,0.659,0.877,0.944,1,1,1,1,1,1
1975,0.217,0.688,0.904,0.958,1,1,1,1,1,1
1976,0.239,0.734,0.929,0.97,1,1,1,1,1,1
1977,0.287,0.778,0.937,0.973,1,1,1,1,1,1
1978,0.333,0.81,0.931,0.969,1,1,1,1,1,1
1979,0.316,0.839,0.928,0.967,1,1,1,1,1,1
1980,0.25,0.871,0.939,0.972,1,1,1,1,1,1
1981,0.181,0.874,0.95,0.978,1,1,1,1,1,1
1982,0.148,0.831,0.951,0.98,1,1,1,1,1,1
1983,0.145,0.76,0.95,0.981,1,1,1,1,1,1
1984,0.147,0.712,0.957,0.985,1,1,1,1,1,1
1985,0.171,0.715,0.967,0.99,1,1,1,1,1,1
1986,0.217,0.751,0.973,0.993,1,1,1,1,1,1
1987,0.266,0.802,0.977,0.995,1,1,1,1,1,1
1988,0.304,0.85,0.978,0.995,1,1,1,1,1,1
1989,0.342,0.877,0.975,0.993,1,1,1,1,1,1
1990,0.391,0.873,0.966,0.99,1,1,1,1,1,1
1991,0.428,0.845,0.954,0.985,1,1,1,1,1,1
1992,0.434,0.808,0.942,0.98,1,1,1,1,1,1
1993,0.42,0.771,0.931,0.975,1,1,1,1,1,1
1994,0.407,0.742,0.92,0.97,1,1,1,1,1,1
1995,0.415,0.727,0.91,0.963,1,1,1,1,1,1
1996,0.452,0.733,0.902,0.957,1,1,1,1,1,1
1997,0.476,0.751,0.906,0.959,1,1,1,1,1,1
1998,0.454,0.769,0.92,0.968,1,1,1,1,1,1
1999,0.415,0.79,0.939,0.979,1,1,1,1,1,1
2000,0.393,0.819,0.957,0.987,1,1,1,1,1,1
2001,0.405,0.848,0.97,0.991,1,1,1,1,1,1
2002,0.408,0.86,0.978,0.993,1,1,1,1,1,1
2003,0.343,0.847,0.986,0.995,1,1,1,1,1,1
2004,0.228,0.813,0.992,0.998,1,1,1,1,1,1
2005,0.125,0.78,0.996,0.999,1,1,1,1,1,1
2006,0.066,0.773,0.996,1,1,1,1,1,1,1
2007,0.054,0.783,0.994,1,1,1,1,1,1,1
2008,0.087,0.795,0.99,0.999,1,1,1,1,1,1
2009,0.156,0.811,0.985,0.998,1,1,1,1,1,1
2010,0.246,0.834,0.982,0.998,1,1,1,1,1,1
2011,0.32,0.866,0.984,0.998,1,1,1,1,1,1
2012,0.347,0.894,0.989,0.999,1,1,1,1,1,1
2013,0.308,0.896,0.994,0.999,1,1,1,1,1,1
2014,0.238,0.864,0.996,1,1,1,1,1,1,1
2015,0.162,0.797,0.995,1,1,1,1,1,1,1
2016,0.096,0.698,0.992,1,1,1,1,1,1,1
2017,0.046,0.6,0.988,1,1,1,1,1,1,1
2018,0.021,0.559,0.985,1,1,1,1,1,1,1
2019,0.018,0.591,0.985,1,1,1,1,1,1,1
2020,0.031,0.659,0.987,1,1,1,1,1,1,1
2021,0.056,0.719,0.987,1,1,1,1,1,1,1
2022,0.089,0.747,0.985,1,1,1,1,1,1,1
2023,0.127,0.765,0.983,1,1,1,1,1,1,1
2024,0.166,0.783,0.983,1,1,1,1,1,1,1
